ID,Experimental (Koc),BalabanJ,AMID,ATSC2s,nAromAtom,ATSC0pe,ETA_shape_x,fMF,FilterItLogS,ATS8se,ATSC0dv,nBondsD,NddsN,SMR,TIC1,NdO,nP,TpiPC10,SLogP,BCUTs-1h,ATSC1are,EState_VSA7,NdS,ATS5s,nG12FRing,piPC8,ZMIC1
454,1,1.7703,2.0116,3.4247,11,3.0758,0,0.5,-3.4612,218.0064,103.8462,1,0,57.8402,82.2953,1,0,7.1627,2.8403,7.0083,-0.1101,30.3318,0,148.5,0,5.2109,33.0681
455,0,2.206,1.9884,43.4451,6,4.3177,0.1092,0.3571,-2.0958,144.2811,129.7619,3,0,60.29,94.9545,3,0,7.4291,1.2075,7.0146,-0.3951,0,0,304.463,0,5.6606,33.1607
457,1,2.7506,1.9403,23.4477,6,6.0029,0.0904,0.1304,-3.6366,923.4063,176.4187,2,0,91.8042,145.7636,1,1,7.1617,3.8896,7.0083,-1.0835,20.7712,1,300.5509,0,5.281,41.8785
458,1,2.0231,1.9791,59.5891,6,6.0769,0.1481,0.2432,-3.3479,452.2966,175.4234,2,0,70.9818,115.8818,2,0,7.6385,2.0576,7.0142,-0.1448,20.7712,0,265.5193,0,6.0027,35.609
460,1,3.0025,1.9417,72.756,6,6.1378,0,0.1818,-4.6619,170.8826,172.0524,2,2,78.1408,107.6564,2,0,7.2866,3.0954,8.003,2.024,0,0,390.3909,0,5.2291,43.3003
461,0,2.6776,1.9319,1.2662,0,6.3186,0.0866,0.1667,-3.4434,303.2829,132.5432,2,0,89.7014,113.3882,2,0,6.1633,1.4886,7.0099,-0.6029,0,0,277.8889,0,4.1744,76.9905
462,0,3.9088,1.862,32.164,0,6.4679,0.1538,0,-0.4554,334.9079,162.8651,3,0,48.4825,78.6075,2,1,5.2781,1.4807,7.0088,-1.9286,0,0,117.2083,0,1.6094,29.7094
463,0,1.6978,2.0031,12.9681,0,9.9883,0.1098,0.2258,-2.1686,1486.7033,271.5484,3,0,104.2396,198.7689,2,0,7.8156,1.1219,7.0094,-0.4432,33.771,0,711.9722,1,6.021,46.1703
465,1,2.2452,1.9612,26.2203,6,6.386,0,0.0909,-6.7937,1006.0008,204.1212,2,0,113.619,165.9563,2,0,7.1383,6.433,7.0094,0.2242,0,0,455.4167,0,5.0152,59.4484
467,0,2.2682,1.9722,14.2856,6,7.3905,0,0.3167,-4.065,1523.3253,242.6,5,0,113.8164,199.7766,4,0,7.7118,0.9935,7.0115,-0.1332,44.1793,0,806.6944,0,5.8972,53.2074
