ID,NddsN,nP,TpiPC10,SLogP,BCUTs-1h,NdS,ATS5s,nG12FRing,ZMIC1,Experimental
357,0,0,6.2226,2.9518,7.0083,0,79.4095,0,33.4196,2.34
358,0,0,7.6513,1.5305,7.0094,0,271.5,0,37.5062,2.14
360,0,0,7.4748,7.7256,1.9654,0,61.4827,0,109.4843,4.52
362,0,0,5.2679,4.8439,7.0083,0,208.1523,0,44.9219,3.35
363,0,0,6.5962,4.0231,7.0083,0,175.6008,0,29.9645,2.76
365,0,0,6.2226,2.484,7.0083,0,86.7428,0,34.4182,2.53
366,0,0,8.2335,6.223,1.6057,0,28.4586,0,126.5522,6
367,0,0,6.5639,3.5209,7.0094,0,174.1512,0,55.8083,3.32
368,0,0,9.2328,2.5746,7.0083,0,77.7099,1,37.6788,3.36
369,0,1,5.2204,2.4518,7.0142,1,112.3723,0,37.8847,3.22
371,0,1,6.7454,3.5413,7.0083,1,283.8194,0,40.0265,3
372,0,0,5.9612,1.8649,7.0083,0,94.1667,0,27.8077,1.73
373,0,0,6.6264,2.8366,7.0083,0,173.3889,0,28.0242,2.48
375,0,0,6.1855,3.361,6.0028,0,59.858,0,43.3684,2.8
376,0,0,6.1663,3.0106,3.5148,0,67.1843,0,36.3458,3.1
378,0,0,6.0394,1.9397,7.0083,0,85.7377,0,32.1689,2.12
379,0,0,6.3626,2.4742,7.0083,0,141.2731,0,32.6417,2.1
380,0,0,7.9494,1.7805,7.0105,0,721.8056,1,52.6955,2.15
381,0,0,6.617,0.3135,7.0146,0,164.4352,0,31.7138,1.6
384,0,0,6.7606,4.4147,7.0083,0,209.0514,0,41.8305,3.7
385,0,0,6.0225,3.8824,4.0052,0,17.0044,0,53.7488,3.94
386,0,0,7.6936,2.8459,6.0027,0,110.1667,0,41.1586,2.54
387,0,0,6.5971,2.9183,7.0083,0,193.6667,0,29.2427,1.71
390,0,0,6.7916,2.6242,3.0677,0,177.358,0,39.9327,3.07
391,0,0,5.9047,1.4332,7.0083,0,64.1728,0,26.046,1.37
392,0,0,7.7655,2.3321,6.0027,0,112.8333,0,34.417,2.17
393,0,0,6.0225,4.0058,6.0028,0,15.5886,0,54.3978,4.12
394,0,0,6.5704,1.8992,6.0028,0,194.8333,0,26.5589,1.95
395,0,0,7.1551,1.3016,7.0146,0,252.713,0,35.4394,1.98
397,0,0,7.7563,6.5289,3.5111,0,68.2809,0,98.4669,5.96
399,0,0,6.7409,1.2534,7.0094,0,254.4938,0,29.005,1.66
400,0,0,6.5235,2.1672,3.0677,0,137.8503,0,35.9831,2.32
405,0,0,6.9336,1.4502,7.0083,0,174.1667,0,31.6339,1.6
406,0,0,7.8544,5.3138,2.2391,0,75.0165,0,56.5774,4.63
407,0,0,6.2653,3.5703,3.5137,0,58.7103,0,42.5587,3.48
409,0,0,6.4204,1.7887,7.0083,0,131.8611,0,28.6727,1.4
410,0,0,9.5618,1.7369,7.0094,0,339.8889,1,40.6562,2.8
411,0,0,6.4101,2.3622,7.0083,0,116.9899,0,31.9841,2.74
412,0,0,6.6699,2.2341,3.0676,0,160.0247,0,37.1072,2.85
413,0,1,5.2627,1.4807,7.0088,0,171.1065,0,29.7094,1.64
414,0,0,6.2066,5.6627,1.6376,0,118.4595,0,89.4447,5
415,0,0,5.6454,1.1323,4.0033,4,115.0679,0,74.0388,5.7
416,0,0,3.091,1.9777,2.2144,0,0,0,20.2439,1.51
417,0,1,3.5553,1.0626,7.0066,0,24,0,21.1381,0.7
418,0,1,5.124,3.5218,7.0067,1,158.1111,0,39.5027,2.18
419,0,0,5.0752,1.1279,2.5247,2,26.2469,0,46.9539,3
420,0,0,7.7833,2.1311,6.0026,0,245.9583,0,33.3404,2.08
421,0,0,7.6622,4.6604,2.2685,0,77.6257,0,47.96,3.92
423,0,0,6.3062,1.9705,7.0083,0,130.1667,0,30.0867,1.74
425,0,1,4.6444,4.4174,7.0066,0,148.9444,0,34.0284,1.85
427,0,0,6.5351,3.1276,7.0083,0,139.5406,0,32.778,2.7
428,0,0,7.5535,3.7842,7.0094,0,275,0,47.069,3.38
429,0,1,7.1306,2.7664,7.0142,1,217.8328,0,40.217,2.17
430,0,0,8.136,3.4755,7.0083,0,277.9444,0,44.1731,2.76
433,0,0,6.9356,2.9871,7.0083,0,280.2202,0,32.6144,2.28
434,0,0,4.5326,1.0388,7.0083,0,66.9907,0,21.305,1.3
435,0,0,8.2981,2.5724,7.0094,0,275.25,0,33.6904,2.71
437,0,0,7.8371,2.0719,7.0083,0,107.2593,0,30.6326,2.8
439,0,0,6.5301,3.5309,7.0083,0,211.3333,0,41.958,2.37
440,0,0,6.5864,2.4421,7.0083,0,131.1656,0,28.6426,1.72
442,0,0,6.4874,2.0999,7.0083,0,121.999,0,26.6738,1.84
443,0,0,6.5894,0.3715,7.0083,0,198.6435,0,28.5275,1.71
445,0,1,7.667,5.4161,3.5144,1,143.1429,0,54.3201,4.5
446,0,0,6.3362,2.3997,7.0083,0,102.8786,0,25.8005,2.1
447,0,1,6.9164,4.2383,7.0066,0,304.3899,0,33.8714,2.51
448,0,1,7.0636,5.6015,7.0066,0,163.9383,0,56.6702,2.95
449,0,0,6.8733,1.2198,7.0083,0,185.5,0,33.6438,1.9
450,0,0,5.2781,0.1071,7.0094,0,135.713,0,29.3572,1
451,0,0,7.0566,4.1574,7.0083,0,312.4702,0,36.7364,2.86
452,0,0,7.1454,1.7922,7.0094,2,198.1296,0,49.664,3.25
453,0,0,6.7824,3.135,7.0083,0,182.2593,0,34.6989,2.31
454,0,0,7.1627,2.8403,7.0083,0,148.5,0,33.0681,2.48
455,0,0,7.4291,1.2075,7.0146,0,304.463,0,33.1607,1.52
